cnf_path,clause_count,var_count,tseitin_var_count,compile_time,timestamp,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/raki_aux_benchmarks/gh/gh_24_prob.lp.cnf,3977,1759,1459,0.000,1712241807.88195,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/raki_aux_benchmarks/gh/gh_16_prob.lp.cnf,1659,740,604,0.000,1712242407.9347913,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/raki_aux_benchmarks/gh/gh_4_prob.lp.cnf,57,29,19,0.124,1712242408.0660775,31,208,32,210,31,72,32,74,20,47,27,71
../sources/raki_aux_benchmarks/gh/gh_11_prob.lp.cnf,617,274,208,33.514,1712242443.4316776,22575,457683,22576,457728,22575,154559,22576,154604,22381,88565,22445,161309
../sources/raki_aux_benchmarks/gh/gh_3_prob.lp.cnf,25,14,8,0.135,1712242459.0275712,11,56,13,58,11,20,13,22,8,17,12,22
../sources/raki_aux_benchmarks/gh/gh_21_prob.lp.cnf,2979,1320,1089,0.000,1712243059.0819578,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/raki_aux_benchmarks/gh/gh_15_prob.lp.cnf,1201,524,404,0.000,1712243659.1713717,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.299,1712256289.901008,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.136,1712256295.8751664,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.128,1712256297.798356,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.197,1712256299.5740612,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.151,1712256301.7685847,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.127,1712256304.11997,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.187,1712256312.7454333,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.069,1712256337.0092702,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.137,1712256338.9481857,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.120,1712256382.7656999,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.133,1712256384.705171,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.185,1712256386.4861863,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.175,1712256388.3901448,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.153,1712256390.431485,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.137,1712256392.8453894,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.180,1712256395.5143785,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.185,1712256514.8131042,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.128,1712256517.316936,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.070,1712256575.9116478,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.189,1712256577.8710032,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.133,1712256580.0328193,2,6,3,7,2,4,3,5,2,4,3,5
../sources/raki_aux_benchmarks/gh/gh_2_prob.lp.cnf,5,4,1,0.126,1712258361.9825566,2,6,3,7,2,4,3,5,2,4,3,5
